top_high5_result_id,contestant_id,contest_id,level,round_id,jurisdiction,rank,migrated,reason
1183,1189,228,regional,3,East Africa,2,True,EXCLUDED_ZERO_MATCH
1184,1235,228,regional,3,East Africa,3,True,EXCLUDED_ZERO_MATCH
1185,1202,228,regional,3,East Africa,4,True,EXCLUDED_ZERO_MATCH
1509,1206,86,regional,4,East Africa,1,True,EXCLUDED_ZERO_MATCH
1511,1137,86,regional,4,East Africa,3,True,EXCLUDED_ZERO_MATCH
1593,1208,190,regional,4,East Africa,1,True,EXCLUDED_ZERO_MATCH
1595,1116,190,regional,4,East Africa,3,True,EXCLUDED_ZERO_MATCH
1596,1120,192,regional,4,East Africa,1,True,EXCLUDED_ZERO_MATCH
1598,1207,192,regional,4,East Africa,3,True,EXCLUDED_ZERO_MATCH
1615,1184,228,regional,4,East Africa,1,True,EXCLUDED_ZERO_MATCH
1616,1189,228,regional,4,East Africa,2,True,EXCLUDED_ZERO_MATCH
1617,1235,228,regional,4,East Africa,3,True,EXCLUDED_ZERO_MATCH
1618,1202,228,regional,4,East Africa,4,True,EXCLUDED_ZERO_MATCH
1632,1169,17,continent,4,Africa,1,False,EXCLUDED_ZERO_MATCH
1638,555,19,continent,4,Africa,4,False,EXCLUDED_ZERO_MATCH
1640,1167,21,continent,4,Africa,1,False,EXCLUDED_ZERO_MATCH
1746,1159,9,regional,26,East Africa,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1747,1143,9,regional,26,East Africa,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1748,1141,9,regional,26,East Africa,3,True,EXCLUDED_OTHER_DEFECT_CLASS
1749,1122,9,regional,26,East Africa,4,True,EXCLUDED_OTHER_DEFECT_CLASS
1750,1113,9,regional,26,East Africa,5,True,EXCLUDED_OTHER_DEFECT_CLASS
1752,1154,23,regional,26,East Africa,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1753,1130,23,regional,26,East Africa,3,True,EXCLUDED_OTHER_DEFECT_CLASS
1754,1124,31,regional,26,East Africa,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1755,1165,31,regional,26,East Africa,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1756,1150,31,regional,26,East Africa,3,True,EXCLUDED_OTHER_DEFECT_CLASS
1757,1132,37,regional,26,East Africa,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1758,1161,37,regional,26,East Africa,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1759,1146,37,regional,26,East Africa,3,True,EXCLUDED_OTHER_DEFECT_CLASS
1760,1131,37,regional,26,East Africa,4,True,EXCLUDED_OTHER_DEFECT_CLASS
1761,1160,39,regional,26,East Africa,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1762,1114,39,regional,26,East Africa,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1763,1145,39,regional,26,East Africa,3,True,EXCLUDED_OTHER_DEFECT_CLASS
1764,1121,39,regional,26,East Africa,4,True,EXCLUDED_OTHER_DEFECT_CLASS
1765,1140,45,regional,26,East Africa,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1769,1144,177,regional,26,East Africa,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1770,1117,177,regional,26,East Africa,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1771,1111,177,regional,26,East Africa,3,True,EXCLUDED_OTHER_DEFECT_CLASS
1773,1158,179,regional,26,East Africa,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1775,1142,188,regional,26,East Africa,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1776,1134,188,regional,26,West Africa,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1779,1198,9,country,27,Tanzania,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1780,1172,9,country,27,Tanzania,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1781,1210,11,country,27,Uganda,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1782,1197,11,country,27,Tanzania,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1783,1179,11,country,27,Tanzania,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1784,1196,15,country,27,Tanzania,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1785,1171,15,country,27,Tanzania,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1786,1195,17,country,27,Tanzania,1,True,EXCLUDED_OTHER_DEFECT_CLASS
1787,1175,17,country,27,Tanzania,2,True,EXCLUDED_OTHER_DEFECT_CLASS
