role,contestant_season_id,contestant_id,season_id,season_round_id,level,current_is_active,contestant_round_id,classification,reason,joined_at,created_at,updated_at
KEEP,148,134,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.651909,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.643430
KEEP,11770,136,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.344872,2026-06-01 08:27:57.948951,2026-07-01 00:05:34.299706
KEEP,152,138,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.666651,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.657154
KEEP,11771,140,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.389195,2026-06-01 08:27:58.008039,2026-07-01 00:05:34.359952
KEEP,156,142,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.685157,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.676353
KEEP,11774,144,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.427083,2026-06-01 08:27:58.040263,2026-07-01 00:05:34.398115
KEEP,160,146,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.701080,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.692013
KEEP,11775,148,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.457143,2026-06-01 08:27:58.069863,2026-07-01 00:05:34.434478
KEEP,164,150,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.716953,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.708478
KEEP,11776,152,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.491573,2026-06-01 08:27:58.113000,2026-07-01 00:05:34.463784
KEEP,168,154,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.731957,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.723417
KEEP,11777,156,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.525620,2026-06-01 08:27:58.145663,2026-07-01 00:05:34.499453
KEEP,172,158,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.749024,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.740912
KEEP,11778,160,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.561113,2026-06-01 08:27:58.176142,2026-07-01 00:05:34.532740
KEEP,176,162,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.763771,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.755066
KEEP,12470,164,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-02 07:37:27.082704,2026-06-17 18:26:41.677837,2026-07-02 07:37:26.671729
KEEP,11781,166,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.594511,2026-06-01 08:27:58.210328,2026-07-01 00:05:34.568010
KEEP,182,168,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.777657,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.769647
KEEP,11785,170,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.636046,2026-06-01 08:27:58.239109,2026-07-01 00:05:34.601655
KEEP,186,172,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.792596,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.784317
KEEP,11790,174,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.672680,2026-06-01 08:27:58.281966,2026-07-01 00:05:34.650740
KEEP,190,176,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.806047,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.797969
KEEP,11791,178,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.699490,2026-06-01 08:27:58.309541,2026-07-01 00:05:34.678652
KEEP,194,180,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.821183,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.812095
KEEP,11792,182,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.724351,2026-06-01 08:27:58.339789,2026-07-01 00:05:34.704655
KEEP,198,184,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.835369,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.826879
KEEP,11795,186,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.756371,2026-06-01 08:27:58.373021,2026-07-01 00:05:34.729946
KEEP,202,188,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.852733,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.845884
KEEP,11799,190,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.794470,2026-06-01 08:27:58.416053,2026-07-01 00:05:34.765393
KEEP,206,192,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.865797,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.858783
KEEP,11800,194,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.826988,2026-06-01 08:27:58.451000,2026-07-01 00:05:34.802457
KEEP,210,196,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.877600,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.871631
KEEP,13664,198,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:14.098798,2026-07-01 00:05:14.083850,2026-07-01 00:05:14.083850
KEEP,214,200,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.890736,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.882569
KEEP,11811,202,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.908449,2026-06-01 08:27:58.523225,2026-07-01 00:05:34.877443
KEEP,218,204,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.901193,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.895464
KEEP,11812,206,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.943465,2026-06-01 08:27:58.562694,2026-07-01 00:05:34.920264
KEEP,222,208,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.912836,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.906000
KEEP,11814,210,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:34.972578,2026-06-01 08:27:58.587602,2026-07-01 00:05:34.949039
KEEP,226,212,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.925782,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.918566
KEEP,11816,214,254,3,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-07-01 00:05:35.008258,2026-06-01 08:27:58.634383,2026-07-01 00:05:34.979326
KEEP,230,216,3,3,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-04-01 00:40:00.939516,2026-03-10 11:44:29.737909,2026-04-01 00:40:00.931614
