role,contestant_season_id,contestant_id,season_id,season_round_id,level,current_is_active,contestant_round_id,classification,reason,joined_at,created_at,updated_at
DEACTIVATE,7416,558,245,1,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:48:58.456896,2026-05-02 01:00:37.253156,2026-05-02 01:48:58.411556
DEACTIVATE,14399,559,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:25.500305,2026-07-01 00:05:23.647556,2026-09-03 13:04:07.238422
DEACTIVATE,16122,559,265,21,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:18.599015,2026-08-01 02:38:46.933321,2026-09-03 13:04:07.238422
DEACTIVATE,14563,564,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:27.783380,2026-07-01 00:05:25.881867,2026-09-03 13:04:07.238422
DEACTIVATE,16287,564,265,21,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:23.398173,2026-08-01 02:38:51.154217,2026-09-03 13:04:07.238422
DEACTIVATE,14560,565,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:27.733985,2026-07-01 00:05:25.848432,2026-09-03 13:04:07.238422
DEACTIVATE,16284,565,265,21,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:23.328523,2026-08-01 02:38:51.101467,2026-09-03 13:04:07.238422
DEACTIVATE,5027,569,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.032401,2026-05-01 00:04:17.019614,2026-05-01 00:04:17.019614
DEACTIVATE,17201,569,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.385852,2026-09-03 12:08:17.355580,2026-09-03 12:08:17.355580
DEACTIVATE,5367,569,247,2,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 23:55:30.714985,2026-05-01 23:55:30.501072,2026-05-01 23:55:30.501072
DEACTIVATE,5478,569,245,1,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:35:11.400080,2026-05-01 23:55:32.895425,2026-05-02 01:35:11.380109
DEACTIVATE,14395,572,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:25.430639,2026-07-01 00:05:23.583867,2026-09-03 13:04:07.238422
DEACTIVATE,16118,572,265,21,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:18.462897,2026-08-01 02:38:46.834406,2026-09-03 13:04:07.238422
DEACTIVATE,14485,573,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:26.906569,2026-07-01 00:05:25.044866,2026-09-03 13:04:07.238422
DEACTIVATE,16216,573,265,21,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:22.224610,2026-08-01 02:38:49.851475,2026-09-03 13:04:07.238422
DEACTIVATE,5038,580,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.040426,2026-05-01 00:04:17.019614,2026-05-01 00:04:17.019614
DEACTIVATE,17190,580,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.373720,2026-09-03 12:08:17.355580,2026-09-03 12:08:17.355580
DEACTIVATE,8419,580,245,1,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:35:11.387825,2026-05-02 01:35:11.380109,2026-05-02 01:35:11.380109
DEACTIVATE,9865,580,247,2,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-31 00:03:10.863178,2026-05-31 00:03:10.849709,2026-05-31 00:03:10.849709
DEACTIVATE,14415,585,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:25.653610,2026-07-01 00:05:23.858397,2026-09-03 13:04:07.238422
DEACTIVATE,16138,585,265,21,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:19.180112,2026-08-01 02:38:47.259362,2026-09-03 13:04:07.238422
DEACTIVATE,15696,586,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:25.731810,2026-08-01 02:38:41.571896,2026-09-03 13:04:07.238422
DEACTIVATE,15692,587,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:25.726786,2026-08-01 02:38:41.571896,2026-09-03 13:04:07.238422
DEACTIVATE,14414,589,261,4,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:25.654606,2026-07-01 00:05:23.858397,2026-09-03 13:04:07.238422
DEACTIVATE,16137,589,265,21,continent,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 13:04:19.183564,2026-08-01 02:38:47.259362,2026-09-03 13:04:07.238422
DEACTIVATE,5039,592,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.040993,2026-05-01 00:04:17.019614,2026-05-01 00:04:17.019614
DEACTIVATE,17215,592,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.402625,2026-09-03 12:08:17.355580,2026-09-03 12:08:17.355580
DEACTIVATE,5459,592,245,1,regional,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-02 01:48:58.529042,2026-05-01 23:55:32.895425,2026-05-02 01:48:58.468680
DEACTIVATE,5020,593,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.012200,2026-05-01 00:04:17.000626,2026-05-01 00:04:17.000626
DEACTIVATE,17185,593,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.305298,2026-09-03 12:08:17.282014,2026-09-03 12:08:17.282014
DEACTIVATE,5019,594,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.011532,2026-05-01 00:04:17.000626,2026-05-01 00:04:17.000626
DEACTIVATE,17177,594,267,28,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-09-03 12:08:17.298606,2026-09-03 12:08:17.282014,2026-09-03 12:08:17.282014
DEACTIVATE,5040,597,8,4,city,True,3,A_EXACT_ONE_AUTHORITATIVE_MATCH,DETERMINISTIC,2026-05-01 00:04:17.041500,2026-05-01 00:04:17.019614,2026-05-01 00:04:17.019614
